,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped,p_area_property_grouped
33,12,750.0,penthouse,60.0,True,1,1,21316,12.5,False,False,False,False,False,2.0,Other,flat or other
34,13,750.0,studio,25.0,False,0,1,533,30.0,False,False,False,True,False,4 or more,Madrid,studio
35,7,750.0,flat,40.0,False,1,1,1989,18.75,False,False,False,False,False,1.0,Madrid,flat or other
38,13,650.0,flat,62.0,True,2,1,7841,10.483870967741936,True,False,False,False,False,1.0,Madrid,flat or other
39,15,750.0,studio,30.0,True,0,1,935,25.0,False,False,True,False,False,3.0,Madrid,studio
40,24,750.0,flat,39.0,False,1,1,2036,19.23076923076923,True,False,False,False,False,4 or more,Madrid,flat or other
41,21,700.0,flat,62.0,True,2,1,8492,11.290322580645162,True,True,True,False,False,3.0,Madrid,flat or other
42,17,747.0,flat,96.0,True,3,2,26611,7.78125,True,False,False,True,True,1.0,Other,flat or other
44,16,640.0,studio,35.0,True,0,1,7324,18.285714285714285,False,False,False,True,True,1.0,Madrid,studio
46,20,750.0,flat,30.0,False,1,1,2133,25.0,False,False,False,True,False,0.0,Madrid,flat or other
47,20,750.0,flat,70.0,True,2,1,28703,10.714285714285714,False,False,False,True,True,2.0,Other,flat or other
48,12,625.0,flat,52.0,True,2,1,40445,12.01923076923077,False,False,False,False,False,2.0,Other,flat or other
49,9,700.0,studio,40.0,True,0,1,1431,17.5,False,False,False,True,False,3.0,Madrid,studio
50,28,750.0,studio,40.0,True,0,1,2417,18.75,False,False,False,True,False,1,Madrid,studio
51,18,650.0,flat,35.0,False,1,1,1121,18.571428571428573,False,False,True,True,False,2.0,Madrid,flat or other
52,24,720.0,flat,70.0,True,3,1,29099,10.285714285714286,False,False,False,False,False,2.0,Other,flat or other
54,28,699.0,flat,52.0,True,1,1,7092,13.442307692307692,False,False,False,True,False,3.0,Madrid,flat or other
56,15,750.0,flat,65.0,True,2,1,13081,11.538461538461538,False,False,False,True,True,unknown,Other,flat or other
57,10,695.0,flat,65.0,True,2,1,13904,10.692307692307692,False,False,False,True,False,unknown,Other,flat or other
58,20,750.0,flat,78.0,True,2,2,19719,9.615384615384617,False,False,False,True,True,unknown,Other,flat or other
59,18,620.0,flat,60.0,True,2,1,7981,10.333333333333334,False,False,False,False,False,unknown,Madrid,flat or other
60,13,500.0,studio,28.0,False,0,1,769,17.857142857142858,False,False,False,False,False,1.0,Madrid,studio
61,8,550.0,flat,38.0,True,1,1,10938,14.473684210526317,False,False,False,False,False,unknown,Other,flat or other
62,23,750.0,flat,46.0,False,1,1,1476,16.304347826086957,False,False,True,True,False,3.0,Madrid,flat or other
63,20,680.0,studio,55.0,True,0,1,5097,12.363636363636363,False,False,False,False,False,0.0,Madrid,studio
66,22,700.0,flat,50.0,True,1,2,32052,14.0,True,True,True,False,False,unknown,Other,flat or other
67,13,750.0,duplex,35.0,True,1,1,4047,21.428571428571427,True,True,True,False,False,unknown,Madrid,flat or other
68,28,750.0,flat,66.0,True,2,1,13311,11.363636363636363,False,False,True,True,False,1.0,Other,flat or other
69,11,650.0,flat,65.0,True,1,1,29440,10.0,False,False,False,True,False,1,Other,flat or other
70,39,720.0,flat,133.0,False,3,2,19453,5.413533834586466,True,True,False,True,True,1.0,Other,flat or other
72,28,600.0,flat,50.0,True,1,1,24430,12.0,False,False,False,True,True,unknown,Other,flat or other
73,13,650.0,flat,61.0,True,1,1,34886,10.655737704918034,False,False,False,True,True,2.0,Other,flat or other
74,11,650.0,flat,65.0,False,2,1,11537,10.0,False,False,False,False,False,3.0,Other,flat or other
75,6,700.0,flat,45.0,True,1,1,12321,15.555555555555555,False,False,False,False,False,3.0,Madrid,flat or other
76,18,625.0,flat,62.0,True,2,1,11666,10.080645161290322,False,False,False,False,False,0.0,Other,flat or other
77,12,595.0,flat,45.0,True,1,1,4543,13.22222222222222,False,False,False,False,False,0.0,Madrid,flat or other
78,20,650.0,flat,55.0,True,1,1,10495,11.818181818181818,False,False,False,True,True,4 or more,Madrid,flat or other
79,27,725.0,flat,50.0,True,1,1,7708,14.5,True,False,True,True,False,2.0,Madrid,flat or other
80,13,750.0,flat,95.0,True,3,1,28483,7.894736842105263,False,False,False,True,False,4 or more,Other,flat or other
81,20,700.0,penthouse,30.0,True,1,1,12049,23.33333333333333,False,True,False,True,False,1.0,Madrid,flat or other
82,25,700.0,flat,27.0,False,1,1,1391,25.925925925925927,False,False,False,False,False,3.0,Madrid,flat or other
83,17,650.0,flat,59.0,True,2,1,30562,11.016949152542374,False,False,False,True,False,1.0,Other,flat or other
84,9,550.0,flat,40.0,True,1,1,17750,13.75,False,False,False,True,False,3.0,Other,flat or other
86,20,750.0,flat,65.0,True,2,1,5580,11.538461538461538,False,False,False,True,False,unknown,Madrid,flat or other
