mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.0260773499806722,0.00343936308527702,0.00835590362548828,0.0010609627420089644,0.0001,{'regressor__alpha': 0.0001},-2.553802157733853,-1.6522066745253967,-1.7506466129198164,-2.1366425528931052,-1.6991745015232511,-1.6514576873869964,-2.2377096442447257,-1.875628458113604,-2.069502782374121,-2.1423827507308144,-2.2601215158394115,-2.3366632535640766,-1.7830014142354043,-2.0074113240161515,-1.5848442103819012,-1.9827463693655085,0.2844407807722188,3
0.024282455444335938,0.0015022777662192525,0.007897679011027019,0.0010664576609614913,0.001,{'regressor__alpha': 0.001},-2.55444231953203,-1.649564087993599,-1.750622503470926,-2.134658362435808,-1.6993993030403258,-1.6531138758346378,-2.23651168434377,-1.8741406597550267,-2.0703327246140124,-2.1412374717744753,-2.258240610034408,-2.336176971049526,-1.7808336033806251,-2.006934276819682,-1.5849872670393121,-1.9820797147412108,0.28438250460194087,2
0.0261445681254069,0.0030943650542273483,0.008343394597371418,0.0008024253586449768,0.01,{'regressor__alpha': 0.01},-2.5619794944200374,-1.626645708357666,-1.75471309449551,-2.1188866637238966,-1.7030864621700488,-1.671550150412375,-2.2277324564512764,-1.8611019237743933,-2.076006649112489,-2.13198556150534,-2.240871957422457,-2.334716446823327,-1.7659805661455328,-1.9985463870246698,-1.5885718950957297,-1.9774916944623164,0.28359575918873264,1
0.025446192423502604,0.0025261605769664568,0.0095121701558431,0.005541864838729368,0.1,{'regressor__alpha': 0.1},-2.700917748844397,-1.5690113348129346,-1.8451828285287069,-2.0935017420038964,-1.777022343502546,-1.902884485808876,-2.2451515832205615,-1.8567216508458058,-2.11468122007231,-2.090030645797065,-2.1804695394358857,-2.5319447847458894,-1.7599740196597893,-1.992919347255629,-1.7242609750854263,-2.025644949974648,0.29553880376327313,4
0.026912625630696616,0.0034411157166864513,0.008959293365478516,0.0016860997942020077,0.2,{'regressor__alpha': 0.2},-2.752242222889465,-1.7218851834006135,-1.8986870092726016,-2.1268483687191875,-1.829924193660569,-1.9725262803649803,-2.2629786433424033,-1.9600938194016582,-2.130291917370164,-2.1555365844050796,-2.2323166376982364,-2.5956403392038134,-1.7749767487358445,-2.060550405291062,-1.8136415195099784,-2.085875991551044,0.28264688869681676,5
0.03316450119018555,0.01181845458888096,0.008381668726603191,0.0010139054417426382,0.3,{'regressor__alpha': 0.3},-2.7779539935109043,-1.8149085502250644,-1.9251371804756423,-2.1386451471157635,-1.8668667381267823,-2.0150563465862614,-2.2914234983687045,-2.036009625836433,-2.1407418965905975,-2.1634085720625635,-2.23876259893776,-2.6185444009511243,-1.795524563246182,-2.1069409488506645,-1.87760977380428,-2.120502255645915,0.27141642278937705,6
0.029406976699829102,0.004999393998691751,0.009758520126342773,0.003643667932468076,0.4,{'regressor__alpha': 0.4},-2.8311413473625824,-1.911110452010522,-1.95464641255471,-2.1469493721937396,-1.9233204755926865,-2.0686249212455485,-2.338699276442161,-2.115935496396427,-2.1657361537086874,-2.182920441709287,-2.2419439784542186,-2.6542265705158297,-1.8377792023514536,-2.1670249928599534,-1.9391178831883134,-2.1652784651057413,0.2654227298063759,7
0.028278605143229166,0.0027647370376260665,0.00885475476582845,0.00036758901857439986,0.5,{'regressor__alpha': 0.5},-2.894099592941771,-2.014908152361555,-1.991154372521287,-2.1690022635247668,-1.9942299016095197,-2.122891038609675,-2.405551873539844,-2.2050811546461366,-2.2032447296047066,-2.213768396731091,-2.257498075184322,-2.7044667904529063,-1.9041448510070917,-2.23286369883023,-2.012952538040025,-2.2217238286403282,0.2614939325265496,8
0.03048283259073893,0.007078259682974292,0.011044629414876302,0.003924356720566367,0.6,{'regressor__alpha': 0.6},-2.96620378457931,-2.126196653873431,-2.038746292546363,-2.2043899159745957,-2.077117757154649,-2.183303304126611,-2.4854020326183117,-2.302371088170108,-2.255836087899705,-2.255457160435214,-2.2851658376401947,-2.7685605870821894,-1.981937425826088,-2.3078569856499733,-2.0978483676727593,-2.289092885416634,0.25988637936173337,9
0.02661304473876953,0.002401473182043937,0.009491936365763346,0.0015406657540944636,0.7,{'regressor__alpha': 0.7},-3.0467771475718726,-2.243842996737669,-2.0966647975212056,-2.252474627681015,-2.170620256058914,-2.249339320690829,-2.5770395976003604,-2.40682631501501,-2.3224848985460476,-2.3074489113178607,-2.3245249161384764,-2.8455662473758525,-2.068787675529121,-2.391142597713057,-2.192501682933134,-2.366402799228695,0.260498123901979,10
0.027211856842041016,0.002986224924574852,0.008848841985066731,0.0012598515163486572,0.8,{'regressor__alpha': 0.8},-3.135195172932998,-2.3464731010229345,-2.164066738137823,-2.3124924881402333,-2.2445671560074505,-2.3205494011375185,-2.679258465839222,-2.4970498856381784,-2.3687483193307624,-2.3690072059128493,-2.3749876407722876,-2.9193568940361576,-2.163601206362357,-2.4583895192824685,-2.2956946063103936,-2.443295853390909,0.2631760724764296,11
