mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.11901060740152995,0.07493982432848954,0.010218969980875651,0.007142852691287019,0.01,5,5,5,50,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50, 'regressor__subsample': 0.6}",-49.511221816712975,-54.938720981190315,-43.52992602334915,-40.1380626123151,-56.90509434154319,-56.432172980590664,-52.269781500358256,-39.27416737046856,-53.86981482708014,-43.46139330370441,-45.3802470936416,-60.829006112747045,-48.20224414627786,-38.03153002751543,-51.46893318935938,-48.949487755123606,6.838210123543448,353
0.13398863474527994,0.06326714467559938,0.010980733235677083,0.009918832070660306,0.01,5,5,5,50,0.8,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50, 'regressor__subsample': 0.8}",-48.61561565977995,-54.933245798989724,-43.800208037628146,-39.64504424247279,-56.056462638484604,-55.22742040516979,-52.21853700788711,-39.1947931043656,-53.07805501997229,-43.897705122522204,-45.708315051084746,-60.583123595446224,-47.93307473176643,-38.00761243979484,-50.41270769736952,-48.62079470351559,6.60533763001583,249
0.1593588670094808,0.07300264559628761,0.01119999885559082,0.009008404378522248,0.01,5,5,5,50,1.0,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50, 'regressor__subsample': 1.0}",-48.925147419627756,-54.60522439855434,-44.867803803089636,-39.18213918731516,-55.84829365580429,-54.261663507009665,-53.015640531554276,-39.605760918037575,-53.133707001547876,-43.98841533129542,-45.18696436480699,-60.16782467400467,-46.812230627879444,-39.26385554915952,-50.69160731002491,-48.637085218647435,6.3549389740384665,254
0.1752676010131836,0.052998183989759126,0.008197212219238281,0.0033647495481250638,0.01,5,5,5,100,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100, 'regressor__subsample': 0.6}",-47.92556424455505,-53.251263041940746,-43.74732868814332,-38.88497144908441,-54.08077233025952,-53.4741086160435,-49.50497425391663,-37.89938122673058,-51.002790514106465,-42.72419475579941,-44.626007322969436,-59.20995208878461,-48.32228833592766,-34.587701078586726,-50.54798721012685,-47.31928567713166,6.6000625388141305,57
0.17627310752868652,0.033011036272859104,0.008039093017578125,0.007098564237756113,0.01,5,5,5,100,0.8,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",-47.36421299669745,-52.957605908668555,-44.816704100737915,-37.59876682903276,-53.05629519107033,-52.917884955617765,-49.9363575585132,-38.49257523976613,-50.21074336904248,-44.006680657953815,-43.934338827513486,-58.83279890490571,-47.775794842978314,-35.109036966239444,-48.79748729378578,-47.053818909501544,6.299951565468859,36
0.12458365758260091,0.010542252698261402,0.0058064142862955725,0.0012351419122034817,0.01,5,5,5,100,1.0,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100, 'regressor__subsample': 1.0}",-47.766054173002,-52.7492254573089,-46.47500652947815,-37.44849348186773,-53.16646785954408,-51.739259541722234,-50.51279908408202,-38.4000278868088,-50.38671640664379,-44.63106632838157,-43.71990723667615,-58.086774369157304,-47.211945255805965,-36.65172633389868,-49.597271209270204,-47.2361827435765,5.976233781468921,52
0.23941748936971027,0.05507291061502376,0.008109235763549804,0.005363373918859526,0.01,5,5,5,150,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150, 'regressor__subsample': 0.6}",-47.426458512321595,-52.490100331865555,-43.84783261956212,-38.37380769370956,-52.76313882006941,-53.17625548867286,-48.42241594230827,-37.8837972963241,-49.22845310584529,-43.393095497211114,-43.99492828627808,-58.97036044832928,-48.488688888356734,-34.016689561722266,-50.61486099374504,-46.87272556575475,6.45528864633191,23
0.26123177210489906,0.1085089629193034,0.00711671511332194,0.002009380651395983,0.01,5,5,5,150,0.8,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150, 'regressor__subsample': 0.8}",-47.36278530218625,-51.74620690812935,-45.97532024964047,-37.27011172571193,-51.195651853375885,-51.82541916783161,-48.90072635588987,-37.73969456575617,-48.58147096239411,-45.41653232558195,-43.4872613323797,-56.98189556676833,-48.23989603693318,-33.43293554837856,-49.012612735398996,-46.47790137575709,6.061811321260011,2
0.26656907399495444,0.0851631789569648,0.01127773920694987,0.013326780165697277,0.01,5,5,5,150,1.0,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150, 'regressor__subsample': 1.0}",-47.675203930441754,-52.632449193461646,-48.09085745858535,-36.55366245543163,-52.137811761415065,-50.536315879201176,-49.79719240422163,-37.7994445941745,-48.80985395638571,-46.33622780330686,-42.80324501726475,-56.7822454803172,-48.629233593205385,-34.86561731795461,-49.05740562222759,-46.833784431172994,6.025561439427377,17
0.09197289148966471,0.042664537364405695,0.006429354349772136,0.0013508846419614262,0.01,5,5,10,50,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 50, 'regressor__subsample': 0.6}",-49.71881105615153,-54.99478402080378,-43.40802155806987,-40.099956461104355,-56.95662203563986,-55.82793355430658,-52.2758752937138,-39.39751609914712,-54.31667274781801,-43.144088314271585,-45.5166865522524,-61.43101565085303,-48.03312340328616,-38.07664967749726,-51.17455579959935,-48.958154148300984,6.899187789920347,355
