mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.06257251103719076,0.018950137369848814,0.003725878397623698,0.0029540764072760843,0.01,5,5,5,50,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50, 'regressor__subsample': 0.6}",-3.8771752087094358,-2.884456247115796,-3.1786844847945397,-3.208792301486966,-3.6105385251729096,-4.015739524757732,-2.657940409243464,-3.4710189087668786,-3.0944495730190202,-3.4438335253130345,-2.9191930103107477,-3.743087591973265,-3.4144219567961125,-2.9870050172573697,-3.6788051237285866,-3.34567609389639,0.3835436506434257,597
0.0648678461710612,0.00969573681272323,0.0026812394460042316,0.0017465336643232125,0.01,5,5,5,50,0.8,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50, 'regressor__subsample': 0.8}",-3.8492888378061,-2.954528713486385,-3.147054756728452,-3.1258668655970285,-3.5584142959060028,-3.990204349502171,-2.7076091937780293,-3.482920253921274,-3.0805595282439127,-3.3934037352651023,-2.9530381657611,-3.710620510693371,-3.397909758166823,-2.937908208261186,-3.6558993786173772,-3.3296817701156214,0.3653624730436982,592
0.05672512054443359,0.009214224686842982,0.002556435267130534,0.0011396501681299465,0.01,5,5,5,50,1.0,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50, 'regressor__subsample': 1.0}",-3.791133737464541,-2.9707832477674665,-3.1577374921196406,-3.1267452085907674,-3.5196975085257236,-3.955111637540008,-2.710725660967359,-3.4801066039485304,-3.1065220171316303,-3.294669860679155,-2.986206579539144,-3.683760548558858,-3.3948461847480575,-2.8585949880859647,-3.5955871231950294,-3.308815226590791,0.3493053742540944,583
0.16684751510620116,0.054201256965191465,0.002821811040242513,0.001047378062018905,0.01,5,5,5,100,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100, 'regressor__subsample': 0.6}",-2.60239052370461,-1.7634096199294877,-2.1611878197072936,-2.1079297666316563,-2.4398541034274666,-2.767228887282962,-1.6780877392699403,-2.2723646063276233,-2.03660403341796,-2.3472259521418835,-1.8901172577511758,-2.6878572144388655,-2.2260055958520164,-1.8926834598481503,-2.436738277857558,-2.2206456571725766,0.32110196330436525,521
0.16978596051534017,0.03702766656584809,0.0024976094563802084,0.00039114303710861815,0.01,5,5,5,100,0.8,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",-2.5636162675274545,-1.8393013240343044,-2.149595738691272,-2.0506040491937783,-2.3726952484226,-2.7130634966992035,-1.74862777884969,-2.279726721871501,-2.010720135460174,-2.2363243512719393,-1.9372992079440072,-2.633232905738397,-2.2020229156406863,-1.8410063072261271,-2.358284105957731,-2.195741370301924,0.2872678497523599,517
0.10200346310933431,0.010751161670308658,0.0026241620381673176,0.0009294368964867244,0.01,5,5,5,100,1.0,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100, 'regressor__subsample': 1.0}",-2.5110555578230915,-1.8651354489562448,-2.1545792872855394,-2.008583361974701,-2.333013829431953,-2.6664563208970424,-1.8007809662225702,-2.2738636358960145,-2.0464372477111166,-2.110165925282469,-2.0169396804116277,-2.601873635856034,-2.2318922899663534,-1.7360943578841057,-2.2942196626427553,-2.176739413882775,0.26973459971727093,511
0.14684770901997884,0.014173222130548953,0.0035727977752685546,0.002844029309036469,0.01,5,5,5,150,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150, 'regressor__subsample': 0.6}",-1.9279302556044478,-1.290022903079472,-1.6491847164676372,-1.514738066257487,-1.7665178073037273,-2.095581344756755,-1.2359620975899188,-1.6217075859984322,-1.4778313775530867,-1.6562003041118982,-1.3588296364814603,-2.1194822164001965,-1.5762051230572127,-1.3269990387130859,-1.76766011350314,-1.6256568391251975,0.2657162330518621,454
0.15334070523579915,0.017574632933333872,0.0024778683980305988,0.0006878333307387499,0.01,5,5,5,150,0.8,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150, 'regressor__subsample': 0.8}",-1.8415743205645494,-1.3424901193905483,-1.596215062681818,-1.4066476411961757,-1.7076446418913331,-2.024121159052579,-1.3504019803030578,-1.6058699759471924,-1.4354743649350303,-1.5904928948083876,-1.3739580678089043,-2.0582778239372668,-1.584183676361974,-1.2937329621819174,-1.6831240662238194,-1.5929472504856368,0.23156776407388746,438
0.13481856981913248,0.007084916675223361,0.0029604117075602214,0.0018328990581160417,0.01,5,5,5,150,1.0,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150, 'regressor__subsample': 1.0}",-1.7849893948583253,-1.3771084131633724,-1.6063329509102964,-1.3862141025455648,-1.6612254545520257,-1.972179421851604,-1.3902379225281176,-1.5952639813473066,-1.451099980412893,-1.4995911451857307,-1.4888052124146673,-2.032885897436845,-1.6622484404880924,-1.174899584054822,-1.593646228769148,-1.5784485420345873,0.2199395593474749,425
0.051207749048868816,0.007178497369918295,0.0021604220072428387,0.00041578160341877664,0.01,5,5,10,50,0.6,"{'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 50, 'regressor__subsample': 0.6}",-3.881896824079286,-2.8863598379870634,-3.171664613374691,-3.224027491411687,-3.5828224014632184,-4.013765227368235,-2.6454636001509244,-3.492339575305204,-3.086550937707149,-3.4622121910605146,-2.923964310914245,-3.767355887412836,-3.40446661238243,-2.999015672699114,-3.6878345964817525,-3.348649318653223,0.38599848394942154,599
