mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.023073180516560873,0.0026049008035468678,0.007018740971883138,0.0011146353922527206,0.0001,{'regressor__alpha': 0.0001},-1.2946554978905076,-1.066740063501954,-1.0518854012586456,-0.9720523998067855,-0.9103049805733491,-0.8860720583961793,-1.2745780938613824,-0.9880652443923563,-1.048803469086825,-0.9566845758007451,-0.9843165701177605,-1.0754226951287578,-1.0893490968657085,-1.0779196560775985,-0.983098588173023,-1.0439965593954386,0.11159662261307281,4
0.023620033264160158,0.003955409718467074,0.007586431503295898,0.0014385486636159424,0.001,{'regressor__alpha': 0.001},-1.2932039712534702,-1.0647325124544798,-1.0489445506847097,-0.9710810204723682,-0.908734822350111,-0.8831974969245304,-1.273278364737781,-0.9835716770218186,-1.048360749449111,-0.9583437695415217,-0.9843742045502094,-1.072272507489027,-1.0862119087128017,-1.0771356139128514,-0.9817728771661092,-1.04234773644806,0.11155566682384718,3
0.02500778834025065,0.002533070825094646,0.008962901433308919,0.0026888705667555885,0.01,{'regressor__alpha': 0.01},-1.2806443674748516,-1.0499478412458367,-1.0237879759237454,-0.9678358036148349,-0.8974400015396282,-0.8607617539965091,-1.2643774742483234,-0.9500093156676873,-1.0395109023143603,-0.9743042028808654,-0.9812654618858686,-1.0547861194708654,-1.0586994365195084,-1.071228141932095,-0.9744253004238584,-1.0299349399425892,0.11149359505592397,2
0.02684025764465332,0.006882342012333614,0.01017592748006185,0.005242628082191509,0.1,{'regressor__alpha': 0.1},-1.258783241944204,-1.0772480854917792,-0.9465151463220158,-0.967110483082394,-0.9355520504428292,-0.8100955097998517,-1.286100127425805,-0.9181479245774593,-1.052236349098211,-1.0190604220282196,-0.9835336581382236,-1.0688401431620642,-1.0199569056005529,-1.0936384481927632,-0.9723662995804284,-1.027278986325787,0.1190290259556029,1
0.027498976389567057,0.004933412421221225,0.009693384170532227,0.0024504023186268506,1.0,{'regressor__alpha': 1},-2.141591639642088,-1.725181693947698,-1.2810048743580322,-1.7100288592440573,-1.672916707936776,-1.3487144962641968,-2.0383473699396415,-1.5773333113742813,-1.6984420042764174,-1.8005256655020576,-1.6178738755248878,-2.0448520289078016,-1.4762806562827515,-1.7179076679698435,-1.6952349859498277,-1.7030823891413573,0.2325198963686256,5
0.02729819615681966,0.005722247269495595,0.008548704783121745,0.0029960510730024457,10.0,{'regressor__alpha': 10},-5.439893086877123,-4.440179075139771,-4.534761266172285,-4.578585160320616,-4.163592670712359,-4.568419825249468,-4.803445182728337,-4.856578783253996,-4.523114369622821,-4.447678225472337,-4.171301516874277,-5.37483272844777,-4.322566013750405,-4.537719176526419,-4.738195915966938,-4.633390866474328,0.3587787564441265,6
