mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.04085373878479004,0.010696080747780305,0.009647480646769206,0.00281959621970557,0.0001,{'regressor__alpha': 0.0001},-1.2946554978905076,-1.066740063501954,-1.0518854012586456,-0.9720523998067855,-0.9103049805733491,-0.8860720583961793,-1.2745780938613824,-0.9880652443923563,-1.048803469086825,-0.9566845758007451,-0.9843165701177605,-1.0754226951287578,-1.0893490968657085,-1.0779196560775985,-0.983098588173023,-1.0439965593954386,0.11159662261307281,4
0.024843613306681316,0.003070629746655715,0.00799853006998698,0.0011903773789836353,0.001,{'regressor__alpha': 0.001},-1.2932039712534702,-1.0647325124544798,-1.0489445506847097,-0.9710810204723682,-0.908734822350111,-0.8831974969245304,-1.273278364737781,-0.9835716770218186,-1.048360749449111,-0.9583437695415217,-0.9843742045502094,-1.072272507489027,-1.0862119087128017,-1.0771356139128514,-0.9817728771661092,-1.04234773644806,0.11155566682384718,3
0.02611061731974284,0.0052888207388539785,0.007716449101765951,0.0011886412076862571,0.01,{'regressor__alpha': 0.01},-1.2806443674748516,-1.0499478412458367,-1.0237879759237454,-0.9678358036148349,-0.8974400015396282,-0.8607617539965091,-1.2643774742483234,-0.9500093156676873,-1.0395109023143603,-0.9743042028808654,-0.9812654618858686,-1.0547861194708654,-1.0586994365195084,-1.071228141932095,-0.9744253004238584,-1.0299349399425892,0.11149359505592397,2
0.02379929224650065,0.003895872546023415,0.007569630940755208,0.0013608326679757075,0.1,{'regressor__alpha': 0.1},-1.258783241944204,-1.0772480854917792,-0.9465151463220158,-0.967110483082394,-0.9355520504428292,-0.8100955097998517,-1.286100127425805,-0.9181479245774593,-1.052236349098211,-1.0190604220282196,-0.9835336581382236,-1.0688401431620642,-1.0199569056005529,-1.0936384481927632,-0.9723662995804284,-1.027278986325787,0.1190290259556029,1
0.027407073974609376,0.008601017485902283,0.007907692591349285,0.0012780137601591261,0.2,{'regressor__alpha': 0.2},-1.304323407221472,-1.1315489636668816,-0.9174561570015014,-1.002407333739445,-1.014333638104699,-0.7967226249897184,-1.340738099328107,-0.9356487281889441,-1.1195541588449185,-1.0799160518250515,-1.0146743481373084,-1.138013679663246,-1.0352627846514413,-1.1380380679079214,-1.0051464980012577,-1.0649189694181276,0.1355379613370904,5
0.02495260238647461,0.0029451862281314268,0.008922990163167317,0.0016415954462550878,0.3,{'regressor__alpha': 0.3},-1.371466016153235,-1.2070087114050994,-0.912961373324499,-1.0637488630353054,-1.1131873074981005,-0.8064126087986546,-1.4185996087648856,-0.9826435052456775,-1.2100081971051877,-1.1562490561135346,-1.0684420903750067,-1.234061545199976,-1.0741204246887668,-1.2016085258629494,-1.0626073672486929,-1.125541680054638,0.15490399734366755,6
0.027805868784586588,0.004937981289693875,0.008096790313720703,0.0004945407402346725,0.4,{'regressor__alpha': 0.4},-1.4572281060541696,-1.2999892513588638,-0.9333798331728864,-1.1470302874658502,-1.2272745584103202,-0.8384201351583754,-1.5161106340660737,-1.055195729234476,-1.3188380567487576,-1.2452227448838056,-1.1416754451160174,-1.3512802140383116,-1.1341191840551341,-1.281516520372111,-1.1410708726913446,-1.2058901048550998,0.1748955625513544,7
0.027392784754435223,0.007973267935898455,0.009400018056233724,0.002732715952645494,0.5,{'regressor__alpha': 0.5},-1.5585973432138562,-1.4069882407870031,-0.977123253337347,-1.2477794015950834,-1.3507505931369668,-0.8902490434710781,-1.6297496334412667,-1.1484820361146577,-1.3926179031953043,-1.3443600323690046,-1.230861596509218,-1.4846436939802945,-1.212100872046302,-1.3748921395380698,-1.2364855874470948,-1.2990454246788365,0.19222109490737138,8
0.02674101193745931,0.003912771065130026,0.009131940205891927,0.0010003054660061767,0.6,{'regressor__alpha': 0.6},-1.672340447519199,-1.4613277261845623,-1.0174526306136982,-1.351308925332402,-1.4087755410453155,-0.9587985369808721,-1.716314735844462,-1.2192199981317022,-1.439830649217649,-1.451533500155886,-1.318880232545807,-1.58665846781746,-1.2500729618351223,-1.432819407173857,-1.3453207241414653,-1.375376965635964,0.20285142525070976,9
0.029120969772338866,0.006860404543281244,0.010136222839355469,0.003519439775437768,0.7,{'regressor__alpha': 0.7},-1.7790527921122796,-1.5175398655034904,-1.0593253054883047,-1.4368970968088604,-1.470415424233833,-1.0418114869070412,-1.7895403818658577,-1.2956182560455272,-1.4948271462777138,-1.5510878388633718,-1.3877692993440995,-1.6893332200771147,-1.291834099749288,-1.4960519257976508,-1.4262435008989927,-1.448489842664895,0.21179242841745388,10
