mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__bootstrap,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.1083657423655192,0.006248767208517441,0.006156619389851888,0.0012733411399183474,True,10,1,2,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 50}",-52.105756511024026,-52.19295005607413,-47.56721953881426,-41.27202581375736,-48.983919949065715,-49.22682413830888,-45.62576234846777,-39.37602664861531,-48.55794014466896,-48.77644988801718,-42.70697387512285,-53.77265723150632,-49.52592334181482,-38.21627387747616,-50.98527230159162,-47.25946504428836,4.643014085686873,37
0.22921187082926434,0.015509352555458775,0.010241413116455078,0.0015177441429614792,True,10,1,2,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",-51.5591656612204,-51.77146534535461,-47.04814577621013,-42.41572229977168,-49.061057016535614,-49.62653409277879,-46.97106547008927,-41.06378289708058,-47.70335095337084,-46.297100444215666,-44.38877724486713,-54.86464661348476,-52.165494846206094,-39.28139145707584,-51.167771752324114,-47.69236479137237,4.297719576112633,107
0.4107259750366211,0.02639129288176796,0.015279150009155274,0.005279992174797924,True,10,1,2,150,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 150}",-50.64729303576635,-52.314753288872474,-46.62198430363706,-41.898046634206935,-49.172080777268334,-50.94078779487208,-46.636579001841916,-41.95159370720321,-48.162910544111796,-47.01303200459429,-45.57751237196214,-54.08416072482586,-49.67428563031948,-38.73009978017456,-48.684947895718025,-47.47400449969163,4.017973212019565,78
0.6051082770029704,0.03765448947007663,0.02736806869506836,0.014615837586191007,True,10,1,2,200,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 200}",-50.78020329726988,-52.170814465797164,-46.45450692276366,-42.40021301400624,-49.454226338264334,-49.49568833516438,-46.621953471783144,-41.55382464727335,-48.34036113732709,-46.66481277961814,-44.09863474125615,-54.104873846138496,-50.93466719963887,-38.9702223927616,-50.260493154280475,-47.48703304955619,4.101837782228442,80
0.1516074498494466,0.02773036698289532,0.007452487945556641,0.0038087880549516873,True,10,1,5,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50}",-50.60555552727512,-51.61233536410753,-45.80837827615883,-41.505327227570135,-47.661030263118874,-48.86525167469159,-46.49603719806004,-42.29946628465603,-48.59769112727831,-48.370821092922505,-46.17801892797891,-54.379283410286924,-50.0864361515715,-39.386392617865035,-50.82809424572137,-47.51200795928418,3.915154766104621,83
0.2672276020050049,0.019078450714049233,0.010465129216512045,0.001847454375400377,True,10,1,5,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100}",-51.7187988097235,-52.96861651176968,-47.29257996472403,-41.970675170946535,-48.631333852430764,-49.76240756212847,-46.599009870763744,-41.02157752154288,-46.964961596228434,-48.58209400616884,-44.81514539402412,-54.473828894276664,-49.095983434147755,-40.356068754658104,-49.77893268491041,-47.602134268562935,4.028403640940067,91
0.3656891981760661,0.012600995593473203,0.01304933230082194,0.0016216636542915823,True,10,1,5,150,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150}",-51.3220460796081,-50.311224909305245,-46.392222387838395,-41.96196792590995,-48.54112160820723,-48.558384856253696,-46.4831810074128,-41.135787491103976,-47.27039280520523,-48.158059891837226,-44.194362820047,-53.722421399478684,-48.60320186896754,-40.029107834112004,-49.60316578914806,-47.08577657829567,3.7162851431482027,29
0.4761408805847168,0.01204892535451047,0.017272313435872395,0.002183504577512149,True,10,1,5,200,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 200}",-51.18274714138702,-51.19758195762986,-46.49564626113088,-40.68032403874095,-48.33317387849807,-49.25596595525981,-46.18498362541939,-40.32460415613854,-47.95871385539773,-48.6328962699518,-44.334707822825735,-53.254070248394065,-49.663645229251046,-39.57859340028426,-49.58843627505455,-47.11107267435758,4.048781939225792,30
0.11750114758809407,0.005231909413855984,0.006449222564697266,0.001231924555799356,True,10,1,10,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 50}",-49.81833741807309,-51.19601270915548,-46.43837069801778,-39.86120040250536,-47.90939305356626,-51.06935158639934,-46.150006654735435,-40.49200620703699,-47.60894808416808,-47.162786913801604,-45.246225167861915,-55.25957245034397,-48.707779411311776,-37.60135505412076,-49.494705394632476,-46.93440341371535,4.519543891534858,19
0.22673521041870118,0.005696262705802812,0.010055446624755859,0.0017821437238970473,True,10,1,10,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 100}",-50.56719697276074,-50.82534828196367,-47.72901085566394,-39.382771982629926,-48.49911437423282,-48.84419078631965,-46.3515477637421,-39.518668586713254,-46.86315431966887,-47.779996112360706,-45.21287056046509,-53.618219824741615,-48.45172700759679,-37.55937883041659,-49.5344779195462,-46.7158449452548,4.412240844334129,2
