mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__epsilon,param_regressor__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.029313325881958008,0.013636410800991065,0.002998940149943034,0.001094055820274178,0.0001,1.2,100,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.2, 'regressor__max_iter': 100}",-1.109756461737623,-1.3314612460010937,-0.9339237380723795,-0.8193835652209839,-0.9133249165472946,-1.0610479464548555,-1.20293569178922,-0.7314894795098634,-1.2994253496939012,-0.8249587086070792,-0.8864708903500667,-1.1691379259831538,-1.0531390406867112,-0.8631219209225987,-1.168783471165361,-1.024557356849479,0.18003969636904693,11
0.011341603597005208,0.0021568122808452222,0.002181402842203776,0.0006436315205822394,0.0001,1.2,300,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.2, 'regressor__max_iter': 300}",-1.109756461737623,-1.3314612460010937,-0.9339237380723795,-0.8193835652209839,-0.9133249165472946,-1.0610479464548555,-1.20293569178922,-0.7314894795098634,-1.2994253496939012,-0.8249587086070792,-0.8864708903500667,-1.1691379259831538,-1.0531390406867112,-0.8631219209225987,-1.168783471165361,-1.024557356849479,0.18003969636904693,11
0.011739651362101236,0.0015627932795857066,0.002102041244506836,0.000520928382621251,0.0001,1.2,500,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.2, 'regressor__max_iter': 500}",-1.109756461737623,-1.3314612460010937,-0.9339237380723795,-0.8193835652209839,-0.9133249165472946,-1.0610479464548555,-1.20293569178922,-0.7314894795098634,-1.2994253496939012,-0.8249587086070792,-0.8864708903500667,-1.1691379259831538,-1.0531390406867112,-0.8631219209225987,-1.168783471165361,-1.024557356849479,0.18003969636904693,11
0.011121352513631185,0.0018308034504836647,0.002269903818766276,0.0006002559135286945,0.0001,1.2,700,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.2, 'regressor__max_iter': 700}",-1.109756461737623,-1.3314612460010937,-0.9339237380723795,-0.8193835652209839,-0.9133249165472946,-1.0610479464548555,-1.20293569178922,-0.7314894795098634,-1.2994253496939012,-0.8249587086070792,-0.8864708903500667,-1.1691379259831538,-1.0531390406867112,-0.8631219209225987,-1.168783471165361,-1.024557356849479,0.18003969636904693,11
0.011489963531494141,0.0034544151835527188,0.0018408457438151042,0.0005042054440021052,0.0001,1.2,1000,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.2, 'regressor__max_iter': 1000}",-1.109756461737623,-1.3314612460010937,-0.9339237380723795,-0.8193835652209839,-0.9133249165472946,-1.0610479464548555,-1.20293569178922,-0.7314894795098634,-1.2994253496939012,-0.8249587086070792,-0.8864708903500667,-1.1691379259831538,-1.0531390406867112,-0.8631219209225987,-1.168783471165361,-1.024557356849479,0.18003969636904693,11
0.014459768931070963,0.006847115768000158,0.0023183663686116534,0.000909758539562198,0.0001,1.5,100,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.5, 'regressor__max_iter': 100}",-1.110088441217024,-1.3612597670868347,-0.9343052057085802,-0.818300240579576,-0.901399693598158,-1.0601489934748414,-1.2283931798377685,-0.7470968832909741,-1.3169525311628778,-0.8217019841491353,-0.8863554901756896,-1.1623743203317174,-1.048057162003656,-0.8672649873683006,-1.1964230140130576,-1.0306747929332127,0.18714478541934854,36
0.012271833419799805,0.0031359797803561366,0.002194674809773763,0.000808711194691435,0.0001,1.5,300,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.5, 'regressor__max_iter': 300}",-1.110088441217024,-1.3612597670868347,-0.9343052057085802,-0.818300240579576,-0.901399693598158,-1.0601489934748414,-1.2283931798377685,-0.7470968832909741,-1.3169525311628778,-0.8217019841491353,-0.8863554901756896,-1.1623743203317174,-1.048057162003656,-0.8672649873683006,-1.1964230140130576,-1.0306747929332127,0.18714478541934854,36
0.01388379732767741,0.004297501442213935,0.002200937271118164,0.00039982328732545623,0.0001,1.5,500,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.5, 'regressor__max_iter': 500}",-1.110088441217024,-1.3612597670868347,-0.9343052057085802,-0.818300240579576,-0.901399693598158,-1.0601489934748414,-1.2283931798377685,-0.7470968832909741,-1.3169525311628778,-0.8217019841491353,-0.8863554901756896,-1.1623743203317174,-1.048057162003656,-0.8672649873683006,-1.1964230140130576,-1.0306747929332127,0.18714478541934854,36
0.012366549173990885,0.0031444569887518247,0.0022483984629313152,0.0007792936263258661,0.0001,1.5,700,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.5, 'regressor__max_iter': 700}",-1.110088441217024,-1.3612597670868347,-0.9343052057085802,-0.818300240579576,-0.901399693598158,-1.0601489934748414,-1.2283931798377685,-0.7470968832909741,-1.3169525311628778,-0.8217019841491353,-0.8863554901756896,-1.1623743203317174,-1.048057162003656,-0.8672649873683006,-1.1964230140130576,-1.0306747929332127,0.18714478541934854,36
0.011743307113647461,0.0015588912159356493,0.0020671844482421874,0.000681235120100709,0.0001,1.5,1000,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.5, 'regressor__max_iter': 1000}",-1.110088441217024,-1.3612597670868347,-0.9343052057085802,-0.818300240579576,-0.901399693598158,-1.0601489934748414,-1.2283931798377685,-0.7470968832909741,-1.3169525311628778,-0.8217019841491353,-0.8863554901756896,-1.1623743203317174,-1.048057162003656,-0.8672649873683006,-1.1964230140130576,-1.0306747929332127,0.18714478541934854,36
