,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
70,39,720.0,flat,133.0,False,3,2,19453,5.413533834586466,True,True,False,True,True,1.0,Other
72,28,600.0,flat,50.0,True,1,1,24430,12.0,False,False,False,True,True,nan,Other
73,13,650.0,flat,61.0,True,1,1,34886,10.655737704918034,False,False,False,True,True,2.0,Other
74,11,650.0,flat,65.0,False,2,1,11537,10.0,False,False,False,False,False,3.0,Other
75,6,700.0,flat,45.0,True,1,1,12321,15.555555555555555,False,False,False,False,False,3.0,Madrid
76,18,625.0,flat,62.0,True,2,1,11666,10.080645161290322,False,False,False,False,False,0.0,Other
77,12,595.0,flat,45.0,True,1,1,4543,13.22222222222222,False,False,False,False,False,0.0,Madrid
78,20,650.0,flat,55.0,True,1,1,10495,11.818181818181818,False,False,False,True,True,4,Madrid
79,27,725.0,flat,50.0,True,1,1,7708,14.5,True,False,True,True,False,2.0,Madrid
80,13,750.0,flat,95.0,True,3,1,28483,7.894736842105263,False,False,False,True,False,4,Other
81,20,700.0,penthouse,30.0,True,1,1,12049,23.33333333333333,False,True,False,True,False,1.0,Madrid
82,25,700.0,flat,27.0,False,1,1,1391,25.925925925925927,False,False,False,False,False,3.0,Madrid
83,17,650.0,flat,59.0,True,2,1,30562,11.016949152542374,False,False,False,True,False,1.0,Other
84,9,550.0,flat,40.0,True,1,1,17750,13.75,False,False,False,True,False,3.0,Other
86,20,750.0,flat,65.0,True,2,1,5580,11.538461538461538,False,False,False,True,False,nan,Madrid
87,17,725.0,flat,70.0,True,2,1,4117,10.357142857142858,False,False,False,True,False,nan,Madrid
88,9,700.0,flat,80.0,True,1,1,29460,8.75,False,False,False,False,False,1.0,Other
89,7,650.0,flat,40.0,True,1,1,12224,16.25,False,False,False,True,False,0.0,Madrid
90,24,695.0,flat,90.0,True,3,1,7729,7.722222222222222,False,False,False,False,False,nan,Madrid
91,13,750.0,flat,55.0,True,1,1,6017,13.636363636363637,False,False,False,False,False,nan,Madrid
92,18,650.0,flat,65.0,True,2,1,7559,10.0,False,False,False,True,False,nan,Madrid
93,13,666.0,flat,70.0,True,1,2,24862,9.514285714285714,False,False,False,True,True,1.0,Other
94,10,750.0,flat,78.0,True,2,2,29976,9.615384615384617,False,False,False,True,True,nan,Other
95,16,630.0,flat,74.0,True,3,1,36483,8.513513513513514,False,False,False,True,False,nan,Other
96,18,635.0,studio,55.0,True,0,1,14528,11.545454545454543,False,False,False,True,True,2.0,Other
97,5,725.0,flat,69.0,True,2,1,35892,10.507246376811594,False,False,True,True,True,1.0,Other
99,16,750.0,flat,35.0,False,1,1,859,21.428571428571427,True,False,False,False,False,1.0,Madrid
100,10,690.0,flat,65.0,True,2,1,4724,10.615384615384617,False,False,False,False,False,3.0,Madrid
101,19,700.0,studio,30.0,False,0,1,1041,23.33333333333333,False,False,False,True,False,2.0,Madrid
102,33,730.0,flat,64.0,True,3,1,20235,11.40625,True,True,True,False,False,1.0,Other
103,19,750.0,flat,51.0,True,1,1,3436,14.705882352941176,False,False,False,True,False,1.0,Madrid
104,16,750.0,flat,48.0,False,1,1,20526,15.625,False,False,False,True,False,4,Other
105,13,690.0,flat,35.0,True,1,1,4802,19.714285714285715,False,False,False,False,False,nan,Madrid
107,13,750.0,flat,74.0,True,3,1,13017,10.135135135135137,False,False,False,True,False,4,Other
109,16,700.0,duplex,35.0,True,1,1,852,20.0,False,False,False,False,False,0.0,Madrid
112,11,720.0,flat,42.0,True,1,1,8333,17.142857142857142,True,False,False,True,False,4,Madrid
113,22,595.0,flat,55.0,True,1,1,29699,10.818181818181818,True,False,False,False,True,1.0,Other
114,14,700.0,flat,45.0,False,1,1,1113,15.555555555555555,False,False,False,False,False,1.0,Madrid
116,6,500.0,flat,45.0,True,1,1,32188,11.11111111111111,False,False,False,False,False,nan,Other
119,6,700.0,flat,75.0,True,2,1,43915,9.333333333333334,True,False,True,False,False,1.0,Other
121,8,675.0,duplex,87.0,True,2,2,44503,7.758620689655173,False,False,False,False,False,2.0,Other
122,10,650.0,flat,45.0,True,1,1,37741,14.444444444444445,False,False,False,False,True,0.0,Other
123,4,750.0,studio,55.0,True,0,1,918,13.636363636363637,True,False,False,True,False,2.0,Madrid
124,17,720.0,studio,45.0,True,0,1,15433,16.0,True,True,True,True,False,4,Other
125,22,624.0,flat,45.0,True,1,1,24077,13.866666666666667,True,False,True,True,True,nan,Other
126,22,633.0,flat,45.0,True,1,1,24077,14.066666666666666,True,False,True,True,True,nan,Other
127,22,640.0,studio,33.0,True,0,1,11189,19.393939393939394,True,False,False,True,False,2.0,Madrid
128,14,645.0,flat,84.0,True,2,2,43827,7.678571428571429,False,True,False,True,False,2.0,Other
129,12,750.0,flat,46.0,False,1,1,1069,16.304347826086957,True,True,False,False,False,3.0,Madrid
130,16,735.0,studio,35.0,True,0,1,11088,21.0,True,True,False,True,True,1.0,Madrid
131,22,600.0,flat,55.0,True,1,1,25189,10.909090909090908,True,True,True,False,False,nan,Other
132,28,750.0,flat,75.0,True,3,1,8286,10.0,False,False,False,False,False,nan,Madrid
133,1,600.0,penthouse,25.0,True,1,1,183,24.0,True,True,False,True,False,4,Madrid
134,30,705.0,flat,48.0,True,1,1,11472,14.6875,True,False,False,True,True,4,Madrid
136,35,650.0,flat,62.0,True,2,1,43229,10.483870967741936,True,False,True,False,False,3.0,Other
138,29,700.0,duplex,61.0,True,2,1,23917,11.475409836065571,False,False,False,False,False,1.0,Other
139,14,650.0,studio,40.0,False,0,1,5088,16.25,False,False,False,True,False,0.5,Madrid
140,16,700.0,flat,40.0,True,1,1,3076,17.5,False,False,False,False,True,0.0,Madrid
141,30,730.0,flat,51.0,True,2,1,6767,14.31372549019608,True,True,True,False,False,4,Madrid
142,35,750.0,flat,50.0,True,2,1,8331,15.0,True,True,True,False,False,3.0,Madrid
143,29,680.0,flat,56.0,True,2,1,19298,12.142857142857142,True,True,True,False,False,3.0,Other
144,29,710.0,flat,78.0,True,3,1,21617,9.102564102564102,True,True,True,False,False,4,Other
145,29,720.0,flat,47.0,True,2,1,7088,15.319148936170214,True,True,True,False,False,1.0,Madrid
146,12,750.0,studio,43.0,True,0,1,5332,17.441860465116278,False,False,False,True,False,nan,Madrid
148,12,695.0,studio,40.0,True,0,1,12376,17.375,False,False,False,True,True,nan,Madrid
150,42,750.0,flat,90.0,True,3,1,26401,8.333333333333334,False,False,False,True,False,nan,Other
151,1,730.0,flat,50.0,True,1,1,8717,14.6,False,False,False,True,True,2.0,Madrid
152,24,600.0,flat,90.0,True,3,1,25182,6.666666666666667,False,False,False,True,False,nan,Other
153,17,650.0,studio,45.0,True,0,1,5656,14.444444444444445,False,False,False,True,False,0.0,Madrid
154,20,750.0,flat,38.0,False,1,1,470,19.73684210526316,False,False,True,True,False,0.0,Madrid
