,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
365,11,750.0,flat,45.0,True,1,1,8426,16.666666666666668,True,False,False,True,True,2.0,Madrid
368,20,550.0,studio,25.0,False,0,1,4650,22.0,False,False,False,False,False,0.0,Madrid
370,22,730.0,flat,60.0,True,1,1,27803,12.166666666666666,False,False,False,False,False,nan,Other
372,28,750.0,penthouse,46.0,True,2,1,3889,16.304347826086957,False,False,False,True,False,4,Madrid
374,16,700.0,flat,45.0,True,1,1,13887,15.555555555555555,False,False,False,False,False,0.0,Other
375,15,680.0,flat,85.0,True,2,1,13303,8.0,False,False,False,True,False,0.0,Other
377,19,600.0,flat,28.0,False,1,1,4418,21.428571428571427,False,False,True,False,False,4,Madrid
382,21,750.0,flat,80.0,True,2,1,30995,9.375,False,False,False,False,True,1.0,Other
383,4,700.0,flat,62.0,True,1,1,13040,11.290322580645162,False,False,False,True,False,2.0,Other
384,18,690.0,flat,77.0,True,2,1,7283,8.96103896103896,False,False,False,True,True,0.0,Madrid
385,15,700.0,flat,50.0,True,1,1,7844,14.0,False,False,False,False,False,0.0,Madrid
386,13,750.0,flat,87.0,True,2,1,13773,8.620689655172415,False,False,False,True,False,4,Other
388,15,735.0,flat,51.0,True,1,1,14023,14.411764705882351,False,False,False,True,True,4,Other
389,15,700.0,flat,80.0,True,3,1,17777,8.75,False,False,False,True,False,4,Other
390,17,725.0,flat,75.0,True,3,1,16247,9.666666666666666,False,False,False,False,False,nan,Other
392,20,733.0,flat,68.4,True,2,1,28541,10.716374269005849,False,False,False,True,True,2.0,Other
393,19,750.0,flat,36.0,True,1,1,4237,20.83333333333333,False,False,True,True,False,0.0,Madrid
394,20,675.0,flat,69.0,True,2,1,5656,9.782608695652174,False,False,False,False,False,0.0,Madrid
395,23,650.0,flat,85.0,True,2,1,43066,7.647058823529412,False,False,True,False,False,2.0,Other
396,15,730.0,flat,52.0,True,1,1,5879,14.038461538461538,False,False,True,True,False,0.0,Madrid
397,19,700.0,flat,97.0,True,1,1,24605,7.216494845360825,False,False,False,True,False,0.0,Other
399,12,690.0,studio,38.0,False,0,1,5798,18.157894736842103,True,True,True,True,True,2.0,Madrid
400,23,700.0,flat,70.0,True,2,1,43166,10.0,False,False,False,False,False,1.0,Other
401,24,600.0,duplex,89.0,True,2,2,44474,6.741573033707865,False,False,False,False,False,2.0,Other
402,18,700.0,studio,25.0,False,0,1,691,28.0,False,False,False,False,False,0.0,Madrid
403,21,690.0,flat,60.0,True,2,1,29005,11.5,False,False,False,False,False,0.0,Other
405,35,750.0,duplex,114.0,True,3,2,28099,6.578947368421052,False,False,False,False,False,1.0,Other
411,31,700.0,studio,51.0,True,0,1,8471,13.72549019607843,False,False,True,False,False,0.0,Madrid
412,32,670.0,flat,61.0,True,1,1,35136,10.98360655737705,False,False,False,True,True,0.0,Other
414,15,750.0,flat,80.0,True,2,1,25085,9.375,False,False,False,True,False,4,Other
416,24,740.0,studio,33.0,True,0,1,8322,22.424242424242426,False,False,False,True,False,0.0,Madrid
417,19,750.0,flat,110.0,True,3,2,27976,6.818181818181818,False,False,False,False,False,1.0,Other
418,9,750.0,flat,62.0,True,2,1,5703,12.096774193548388,True,False,False,False,False,3.0,Madrid
419,21,750.0,studio,70.0,True,0,1,16273,10.714285714285714,False,False,True,True,True,0.0,Other
420,11,650.0,studio,28.0,True,0,1,5399,23.214285714285715,False,False,False,False,False,0.0,Madrid
421,18,625.0,flat,51.0,True,1,1,25010,12.254901960784316,False,False,True,True,True,2.0,Other
422,18,700.0,flat,35.0,True,1,1,2266,20.0,False,False,True,True,False,0.0,Madrid
424,25,750.0,flat,95.0,True,2,2,30759,7.894736842105263,False,False,False,False,False,1.0,Other
427,37,600.0,studio,25.0,False,0,1,3812,24.0,False,False,True,False,False,0.0,Madrid
429,25,750.0,flat,89.0,True,2,2,12878,8.426966292134832,False,False,True,True,False,2.0,Other
430,32,700.0,flat,55.0,True,1,1,32004,12.727272727272728,False,False,True,True,False,1.0,Other
431,34,750.0,flat,90.0,True,3,2,28736,8.333333333333334,False,False,False,True,True,2.0,Other
432,28,750.0,flat,48.0,True,2,1,6832,15.625,False,False,False,True,False,2.0,Madrid
433,27,625.0,flat,57.0,True,2,1,43647,10.964912280701755,False,False,False,False,False,0.0,Other
434,20,750.0,flat,46.0,True,1,1,16127,16.304347826086957,True,False,False,False,True,1.0,Other
435,7,695.0,flat,59.0,True,1,1,8595,11.779661016949152,False,False,False,True,True,4,Madrid
436,10,450.0,flat,40.0,True,1,1,46273,11.25,False,False,True,False,False,1.0,Other
437,15,720.0,flat,58.0,True,2,1,13451,12.413793103448276,False,False,True,False,False,0.0,Other
438,20,745.0,flat,73.0,True,2,1,28800,10.205479452054794,False,False,False,True,True,2.0,Other
439,19,720.0,flat,69.6,True,2,1,28624,10.344827586206897,False,False,False,True,True,2.0,Other
440,23,750.0,flat,55.0,True,2,1,7462,13.636363636363637,False,False,False,False,False,1.0,Madrid
441,19,720.0,studio,48.0,True,0,1,5808,15.0,False,False,False,True,True,1.0,Madrid
442,17,725.0,studio,44.0,False,0,1,1140,16.477272727272727,False,False,False,True,False,4,Madrid
443,14,750.0,flat,80.0,False,2,1,8011,9.375,False,False,False,True,True,4,Madrid
444,14,550.0,flat,86.0,True,2,1,47448,6.395348837209302,False,False,False,True,False,1.0,Other
445,16,640.0,flat,69.0,True,2,1,29311,9.27536231884058,False,False,False,True,True,2.0,Other
446,19,700.0,flat,54.0,True,1,1,11656,12.962962962962964,True,True,True,True,False,1.0,Other
447,16,700.0,flat,59.0,True,1,1,7529,11.864406779661016,False,False,False,True,True,4,Madrid
448,11,700.0,flat,75.0,True,2,1,30359,9.333333333333334,False,False,False,False,False,1.0,Other
449,19,695.0,flat,62.0,False,2,1,15162,11.209677419354838,False,False,False,False,False,3.0,Other
