mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__bootstrap,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.12286621729532878,0.01684069586565627,0.009370708465576172,0.0060584063682115824,True,10,1,2,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 50}",-1.0530242272299783,-1.3933543314591939,-1.0845786597149567,-1.0304590732890524,-1.0307267883793794,-1.262284118640012,-1.3046686527413345,-0.8229140496401999,-1.1547376387548143,-1.0558134276026059,-0.8934817923778366,-1.4459619963480197,-1.3682466865527414,-0.9790604526764971,-1.0109452388818645,-1.126017142285899,0.18161978762669737,24
0.30518701871236165,0.030126547322438354,0.01643223762512207,0.0071482006670821,True,10,1,2,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",-1.0861626534248876,-1.4005934292075266,-1.1266011364763768,-1.0149703233886143,-1.117945420688048,-1.2754906680531932,-1.2758970779922254,-0.8420885214975219,-1.122187865397947,-0.9968630623285221,-0.9431378517257412,-1.4435361056779399,-1.387897062942828,-0.9958388946060702,-1.003107793082584,-1.135487857766002,0.17607697676531212,40
0.4920463562011719,0.03206348091355912,0.016208092371622723,0.003840125750823273,True,10,1,2,150,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 150}",-1.0610257140840051,-1.381804571617942,-1.0805168038338608,-1.0030208060086334,-1.1065191955980347,-1.265898779860677,-1.2531218614393334,-0.8425063725051604,-1.1199883981736214,-1.026238336308946,-0.9077433804177435,-1.464411901290146,-1.3044033433313091,-0.9712706173950412,-1.012112810855876,-1.1200388595146888,0.1719851368196296,18
0.5842369556427002,0.05109594107363484,0.021253697077433267,0.006602956266624184,True,10,1,2,200,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 200}",-1.0552978442923766,-1.3967380117079011,-1.1152504287684972,-1.026259776691995,-1.0744370607519063,-1.2753738541561466,-1.2938184618529454,-0.8467514671600689,-1.109875379562624,-1.0583850666125125,-0.9175763413312406,-1.4544993253494372,-1.3378614086192713,-0.9747310199409486,-0.9926635306084414,-1.1286345984937542,0.17532858001375712,31
0.13928922017415366,0.01859687712718491,0.006974267959594727,0.0013123446401469541,True,10,1,5,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50}",-1.038451029300552,-1.339653156708828,-1.1211243120327077,-0.996989443498389,-1.046584910108265,-1.3273658336535126,-1.2719768034549814,-0.8298398476835717,-1.1194002945029582,-1.1087365476654367,-0.9003226516883974,-1.45977497056552,-1.2958366662131036,-0.9576122029088949,-1.0157488918250637,-1.1219611707873451,0.17466962255356422,20
0.2446635087331136,0.012539259726493026,0.011257743835449219,0.0031589977978055397,True,10,1,5,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100}",-1.059223015911137,-1.3424881490933505,-1.094059890253323,-0.9761996680118288,-1.0356152642309924,-1.2786807848901267,-1.3145402851603105,-0.8224018244351007,-1.0856601759163231,-0.9971225211204984,-0.9059281271035081,-1.4538352837911828,-1.2517571838150676,-1.0053146274677673,-0.9921331543177481,-1.107663997034551,0.17347200398137363,8
0.3583462397257487,0.02003911905106799,0.0153441588083903,0.0030187670949958015,True,10,1,5,150,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150}",-1.0082055545267943,-1.337807556039636,-1.10995631420665,-0.9816011549270837,-1.0511777198610683,-1.2918969194856498,-1.334735624933964,-0.8410464596185653,-1.0649684168256763,-1.0203147277645905,-0.9157581383777693,-1.466725589107079,-1.2483101062334603,-0.988884838367686,-0.9890537687205433,-1.1100295259330812,0.17542599558724647,11
0.5232886791229248,0.04291857796205351,0.02029566764831543,0.00495409183193158,True,10,1,5,200,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 200}",-1.018400114748214,-1.3329860921762842,-1.1224168835440447,-0.9639030172380179,-1.0294638116101462,-1.246013037063699,-1.327435872107017,-0.8339603049849512,-1.0745235527049963,-1.0302347938366068,-0.9038330735931754,-1.4559059422134581,-1.2280307488181508,-1.0200601840078474,-0.975334635056007,-1.104166804246841,0.17078160013456264,2
0.12090088526407877,0.02545749086848349,0.006147575378417969,0.0007626659787313875,True,10,1,10,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 50}",-1.0334215309746495,-1.4400174611289023,-1.135968435720627,-1.023126225339589,-1.080567192267493,-1.4646355108194238,-1.361828971885033,-0.799022435244426,-1.1013234127034754,-1.0146486406312176,-0.8772266990474902,-1.5523731948708281,-1.2852364399843763,-0.9918586378310467,-1.1471945258382983,-1.1538966209524586,0.21384484308804555,47
0.22567734718322754,0.010504009539939498,0.010031652450561524,0.0014269707762155127,True,10,1,10,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 100}",-1.040883207149234,-1.4433221918091388,-1.1270455574753706,-0.9234193150297296,-1.0373711053090615,-1.4389548491856616,-1.3451374775728178,-0.812966464258281,-1.112637315731254,-0.9460681923868758,-0.8857413335752276,-1.5457383342484223,-1.2377096383877766,-0.9170133169495832,-1.1462455553734765,-1.1306835902961274,0.21961772061567167,34
