mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__max_depth,param_regressor__max_leaf_nodes,param_regressor__min_samples_leaf,param_regressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.023227326075236,0.0014899242172437945,0.00870216687520345,0.002821669997359409,5,15,1,2,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}",-55.34213901186282,-57.24936339590031,-39.730344993730334,-47.95019717315372,-58.49325757587902,-46.99180642040997,-52.70721672830497,-44.136570418456046,-43.84328801836889,-54.28974497025282,-60.54372641938382,-57.358871032883506,-44.46254276174094,-46.977203258178584,-47.608236207357706,-50.51230055905756,6.201437247952695,58
0.024333445231119792,0.003549329939323681,0.012117226918538412,0.013847828330255281,5,15,1,5,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5}",-56.532091332342794,-56.554469112376864,-39.730344993730334,-48.05353310491284,-55.71176252192577,-46.99180642040997,-52.16716342818029,-44.13693165658926,-46.868129804126795,-50.90282962924447,-60.24568856444921,-48.383210889410485,-43.47550107665418,-43.156342185803744,-47.608236207357706,-49.367869395167645,5.674344289458507,34
0.028712002436319987,0.005924310417909054,0.008273760477701822,0.0009358975142109079,5,15,1,10,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",-54.33748057145079,-60.164736244266834,-39.730344993730334,-52.73457296320363,-53.80608818857394,-45.217417779582284,-54.775273943943944,-45.356592925094326,-42.35890806294654,-49.601330040785285,-61.27298924935291,-48.514406942713244,-43.40493058396066,-45.60094948046628,-47.01874529104131,-49.59298448407415,6.185387148737682,36
0.02772235870361328,0.004817957078504378,0.009682130813598634,0.002485169756182436,5,15,1,15,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 15}",-53.2793175983109,-59.92599479709586,-39.730344993730334,-54.74321920019046,-55.93497222865216,-45.217417779582284,-54.35206478818486,-45.42668709533554,-43.143879881122444,-47.55802629123084,-60.47064752052286,-47.042882595615566,-42.47474948764193,-45.78306024453102,-48.013333708721326,-49.53977321403123,6.227499209565456,35
0.03153831164042155,0.008411882720506322,0.01378472646077474,0.011416434390828623,5,15,3,2,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 2}",-52.07020339883414,-59.77107826904637,-43.10097969691211,-53.33885927674419,-48.42000737800488,-45.217417779582284,-51.29309942117117,-44.0138267453613,-40.71961233002225,-49.53957501670071,-62.28030555474467,-47.60761036055097,-45.45587949605106,-46.12176804494763,-45.68814287836095,-48.97589104313565,5.789627959976541,2
0.02858109474182129,0.008244591367122783,0.01383350690205892,0.011351447546858235,5,15,3,5,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 5}",-52.07020339883414,-59.77107826904637,-43.10097969691211,-53.33885927674419,-48.42000737800488,-45.217417779582284,-51.29309942117117,-44.0138267453613,-40.71961233002225,-49.53957501670071,-62.28030555474467,-47.60761036055097,-45.45587949605106,-46.12176804494763,-45.68814287836095,-48.97589104313565,5.789627959976541,2
0.03030120531717936,0.012671865845440515,0.010392872492472331,0.005093378458231543,5,15,3,10,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 10}",-53.38942856030544,-59.172567204443794,-43.10097969691211,-52.73457296320363,-48.99881100508304,-45.217417779582284,-54.24493401036881,-44.41228390712304,-39.76296939555282,-49.601330040785285,-61.26657066409929,-46.653173288078506,-45.40009351068001,-45.74827349435302,-47.01874529104131,-49.114810054107494,5.79240577210332,9
0.046514733632405596,0.027802756873973832,0.016901493072509766,0.014234439738976286,5,15,3,15,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 15}",-53.23539678526729,-59.92599479709586,-43.10097969691211,-54.74321920019046,-50.48606405321489,-45.217417779582284,-53.778214665990944,-44.09433295491537,-39.76296939555282,-47.55802629123084,-60.46414376255627,-48.101476144026016,-42.47474948764193,-45.78306024453102,-48.013333708721326,-49.11595859782863,6.01025537274759,13
0.029457457860310874,0.0056553093524046,0.009559027353922526,0.0016218655373051853,5,15,5,2,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 2}",-52.942790569109036,-59.2060780011261,-43.04097883631295,-54.13139388102011,-53.315083994569285,-45.217417779582284,-53.80579788644928,-44.32498380900597,-39.76296939555282,-47.82756125169144,-61.26657066409929,-49.22781730287747,-43.800955620672916,-45.035220475933684,-47.01874529104131,-49.32829098393627,6.009472512977731,26
0.051026137669881184,0.03167583373937826,0.014658117294311523,0.01390970133562609,5,15,5,5,"{'regressor__max_depth': 5, 'regressor__max_leaf_nodes': 15, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 5}",-52.942790569109036,-59.2060780011261,-43.04097883631295,-54.13139388102011,-53.315083994569285,-45.217417779582284,-53.80579788644928,-44.32498380900597,-39.76296939555282,-48.47602082345594,-61.26657066409929,-49.22781730287747,-43.28834550016091,-45.035220475933684,-47.01874529104131,-49.33734761401976,6.0338426001539816,30
