mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__bootstrap,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.13825666109720866,0.011592595737447921,0.01254127820332845,0.0021335016474297694,True,10,1,2,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 50}",-53.53791138222764,-53.60638359802704,-43.12203515552878,-44.95074296767819,-53.98269788590653,-45.64214435399417,-52.42377772227257,-38.3150158092466,-44.244517456265314,-52.33539895575849,-53.78584504773458,-48.7889486405589,-43.89438903898576,-41.67554323792161,-51.71319780534401,-48.13456993716334,5.081221421977565,47
0.22215733528137208,0.026280397412691853,0.014905309677124024,0.003038944303827325,True,10,1,2,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",-52.29726968513428,-53.43130435043102,-42.442733538742196,-44.69789382537028,-53.92905288079886,-45.86129241223386,-48.84810573007581,-39.3248862894986,-44.281091228631745,-52.11389531294981,-55.3001523608822,-49.124656706243485,-43.46833565197573,-44.10210954749105,-50.223735807371725,-47.96310102185537,4.700517225386093,35
0.3146571159362793,0.03151771379366666,0.017452828089396157,0.002946830738191952,True,10,1,2,150,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 150}",-52.88007110102033,-55.04296417497228,-41.64923511768608,-44.78288153849266,-52.85836987933866,-46.56938501080256,-49.756936278575274,-39.647686664322954,-44.31232758079856,-52.2565479241866,-54.69004301476276,-48.4060052058129,-43.381253671148414,-42.553149921683286,-50.457592406043545,-47.949629965976456,4.873330312403569,33
0.42610100110371907,0.05341235630000866,0.022408469518025716,0.007901402658676358,True,10,1,2,200,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 200}",-52.88272646733499,-54.13704494394154,-41.692199658600394,-44.7338935946502,-52.932309833679554,-46.56361350458797,-50.315261947859305,-38.03361518303571,-44.889405349794565,-51.34903230176719,-54.96879834388463,-49.13885528037742,-42.19999493717568,-43.46730348828512,-50.32164507699207,-47.841713327464426,4.98660108427949,19
0.13470768928527832,0.02727401065403811,0.013714106877644856,0.004821289035531659,True,10,1,5,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 50}",-55.09999884032356,-56.49732353868279,-41.481450807612546,-42.24419457694035,-53.04220132010326,-46.36280757739156,-51.03863158889524,-38.276290034028314,-44.12989112885392,-51.107326696970134,-56.2178455392062,-47.83847459496574,-41.84831444062929,-43.70380126218131,-49.88431102632421,-47.91819086487389,5.669017402172641,26
0.22657909393310546,0.03460180815174367,0.015131044387817382,0.004109653887003659,True,10,1,5,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100}",-53.90114288638325,-54.80334923448882,-40.452736538978954,-44.51546424460048,-52.24286370178378,-46.532168040010355,-51.16086018195292,-39.462441231169414,-44.0566471041972,-50.20521860808457,-55.116095945439994,-48.44257016656745,-42.79039481549753,-43.851862577090465,-49.06325716774135,-47.77313816293243,4.961201843112029,13
0.32426145871480305,0.05061275634850917,0.017049900690714517,0.0023479060135944184,True,10,1,5,150,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 150}",-53.52417303260087,-54.70012898480034,-41.57106276243993,-44.67773274947305,-52.83126701790423,-46.83614940580826,-50.389241662554234,-39.47927402038269,-43.295274167996965,-51.10121903034161,-56.33939702866442,-48.897512128023266,-41.85605134845589,-43.39516328493596,-50.01168249998837,-47.92702194162469,5.136837724529301,27
0.5181824048360189,0.08369033956900522,0.023093620936075848,0.0089335021515518,True,10,1,5,200,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 200}",-54.02138231781216,-53.98600397001578,-41.005620555933525,-44.104235558791174,-52.54384821121685,-46.190898247894715,-51.21910603041591,-39.81350953904298,-42.969305605800336,-50.281903164618484,-54.66821443686773,-47.229179498204275,-41.78747748508501,-43.394254231760314,-49.77182155658042,-47.53245069400264,4.984851391442922,2
0.13789552052815754,0.035777682577028874,0.013713868459065755,0.005474805142749809,True,10,1,10,50,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 50}",-52.67045228969732,-54.1921149931409,-40.33782541204965,-47.121064400511614,-51.8366981980521,-45.163541907212746,-53.32244309564773,-39.258628365442185,-43.221042292230486,-49.16107337340559,-54.62960743219836,-45.48882428641786,-42.49165838584388,-44.15490451938002,-48.48250838084707,-47.43549248880517,4.913696384030016,1
0.22655364672342937,0.04804124207756986,0.02045574188232422,0.010451744075976953,True,10,1,10,100,"{'regressor__bootstrap': True, 'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 100}",-53.58739304047002,-56.01548040337939,-39.900698110095284,-45.139020528924426,-52.52018514344874,-45.43608122891649,-53.70762853954235,-40.119105007773555,-43.368252559202816,-50.776241716905744,-54.477264809322655,-47.02299123004566,-41.21908197245175,-44.78393130976895,-49.15515455737609,-47.81523401050826,5.29250050808168,17
