mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.04751405715942383,0.005953630683924255,0.011310450236002604,0.009045687637969996,0.03,6,3,30,25,0.7,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 25, 'regressor__subsample': 0.7}",-47.12635267879593,-53.09036281346482,-43.376227627934455,-36.62030786994515,-53.95341319355403,-52.73802179223571,-50.06152217254778,-37.83249619608866,-50.98056202309487,-42.8651288227159,-46.54000714429828,-59.20428719599786,-44.58844536516018,-36.644308439426915,-48.64368993622168,-46.95100888476548,6.483255475644261,852
0.04709957440694173,0.005257809633544324,0.0082123597462972,0.0009763845191614061,0.03,6,3,30,25,0.8,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 25, 'regressor__subsample': 0.8}",-47.66124169712599,-52.7616730064001,-43.050172633369094,-37.21927725786654,-53.222681253011466,-52.96454274647628,-49.44797070966975,-38.03997119025619,-50.52914657514747,-43.32865171445675,-45.690970236041316,-59.41393587377124,-44.00751213448582,-37.51640749766992,-48.7927329544199,-46.90979249867785,6.267420397170046,813
0.05024852752685547,0.007543928899102246,0.007457447052001953,0.0020741619869446325,0.03,6,3,30,25,0.9,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 25, 'regressor__subsample': 0.9}",-47.874703392238104,-52.53307104649192,-43.313922488985526,-36.714083342556975,-53.23549804633192,-52.285572538138005,-49.796288092409576,-38.335643349812464,-51.08771500724999,-43.624990725777494,-46.18673624577157,-59.005199344578465,-44.000775271292575,-38.07474222700817,-48.306843068357026,-46.95838561246665,6.130252821773449,860
0.054713837305704754,0.013509748835173632,0.007982476552327474,0.0009564584166235658,0.03,6,3,30,30,0.7,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 30, 'regressor__subsample': 0.7}",-46.731484041988864,-52.60177651963866,-43.09734420680303,-36.65047917356248,-53.21470804855675,-52.34755418819492,-48.71407903129178,-37.66631165721131,-50.79543877404983,-41.75243040646214,-45.31005109779537,-58.10623884354739,-44.09461692967575,-36.30244723606577,-48.003922909177504,-46.35925887093478,6.308435418202657,560
0.05632375081380208,0.007929667369939108,0.008719698588053385,0.0015396854694712761,0.03,6,3,30,30,0.8,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 30, 'regressor__subsample': 0.8}",-47.098968581028274,-52.33898662705211,-42.96096789255792,-36.30621981961225,-52.65432039288848,-51.27011392030811,-48.58163701177266,-38.02763523357839,-49.17496114190047,-43.00204752664643,-45.87576738817208,-58.92348531193603,-43.57235477058863,-36.532456854821234,-48.250436675833704,-46.304690609913116,6.176152318422227,533
0.05530201594034831,0.0065742456583884265,0.00946346918741862,0.003990746997745028,0.03,6,3,30,30,0.9,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 30, 'regressor__subsample': 0.9}",-47.81265442167584,-51.857303852736386,-43.11515589665615,-36.233239247117375,-51.93773452009739,-51.23762765787628,-49.106244673129865,-37.77773450504564,-49.94159629573409,-43.76875868001764,-45.60520737702138,-58.449914630950715,-43.37049452759235,-37.05487760719756,-47.9954373538626,-46.35093208311409,6.03315475702403,555
0.06713299751281739,0.008278610628167628,0.007890955607096354,0.0004945370978423045,0.03,6,3,30,40,0.7,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 40, 'regressor__subsample': 0.7}",-47.10912478878514,-51.4060040322823,-42.775835443103425,-36.18834478592679,-51.80742608234369,-51.77963410912134,-47.697547667059276,-37.95094022389497,-49.6814780576923,-43.14339382228593,-44.96867522491674,-58.225384445749256,-44.00484066896107,-35.21831700392847,-46.700330201272024,-45.910485103821514,6.135965041347348,298
0.07069295247395833,0.00969824278480649,0.00739739735921224,0.0007312228477817285,0.03,6,3,30,40,0.8,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 40, 'regressor__subsample': 0.8}",-46.704310860256214,-51.51030557087168,-43.372035945723795,-35.577664336256504,-52.30131910871285,-50.1909116623987,-47.81065130740455,-37.5542350946652,-47.837166820442256,-43.88813494366166,-45.231206584329136,-57.79507233679193,-43.041025493590205,-35.635484607848895,-47.92448440679345,-45.75826727198312,6.026753259607563,223
0.0707760492960612,0.007957782990225032,0.007730468114217123,0.0008447557539996443,0.03,6,3,30,40,0.9,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 40, 'regressor__subsample': 0.9}",-47.42318179389782,-50.9780114415575,-43.74469733610989,-35.38796056045559,-50.19055699200557,-49.89563516364969,-48.45958454249512,-38.13149316679831,-47.93364154698374,-43.97440245914134,-45.69166494928428,-57.20765586848954,-43.32623137901506,-37.32800835641994,-47.727044021806286,-45.82665130520731,5.559619653947435,245
0.07607579231262207,0.010329491542286495,0.009599510828653972,0.002882363225854709,0.03,6,3,30,50,0.7,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 6, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 30, 'regressor__n_estimators': 50, 'regressor__subsample': 0.7}",-45.82868877587042,-51.721432854060424,-43.60830163458826,-35.70519792147252,-50.15889610901165,-50.55518367652499,-46.64387476636722,-37.99087280678207,-47.64953168930353,-44.34289860480285,-45.43082552697833,-57.00716587637822,-43.7297100102392,-34.59990607197424,-47.34777007128187,-45.48801709304237,5.813912426725947,108
