mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.03236522674560547,0.004683831627472857,0.01261134147644043,0.0025576300552822154,0.0001,{'regressor__alpha': 0.0001},-1.361608899963815,-1.0884641464972644,-1.073079548389277,-0.9456090665349833,-0.9497757623036038,-0.8978391990234997,-1.31469996548099,-0.9398824160109887,-1.094159701775073,-0.9776935060082568,-1.0266113752995298,-1.0328931970869422,-1.144888451894216,-1.1431273323497677,-1.0314970172936115,-1.068121972394121,0.12819523134839977,4
0.03770216306050619,0.016770751290035954,0.01652661959330241,0.011798953991531339,0.001,{'regressor__alpha': 0.001},-1.3591976308453784,-1.0866222901330094,-1.0700049060329144,-0.9450107706408369,-0.9486074090996988,-0.8956265271582358,-1.3138472471316363,-0.9389622900031634,-1.0927870242105922,-0.9796050256903689,-1.0260160516998205,-1.0321837614014195,-1.1419756307231006,-1.1438764673439272,-1.0298409039000516,-1.0669442624009435,0.1279256496433971,3
0.04504238764444987,0.01596872921649647,0.01743162473042806,0.01792640588075901,0.01,{'regressor__alpha': 0.01},-1.345595006502245,-1.0808719788914056,-1.0453113491688637,-0.9425287603154803,-0.9414278365424458,-0.8770577745503196,-1.3115671107891838,-0.9313503965845954,-1.0853800446538127,-1.0026450648476364,-1.0219620727404621,-1.0184159034208535,-1.1177772397495294,-1.1564316382397861,-1.0223034408996419,-1.0600417078597506,0.12768384767603053,2
0.047136322657267256,0.03000187876353496,0.021251138051350912,0.016891049291726076,0.1,{'regressor__alpha': 0.1},-1.3181234360126008,-1.1261241275404401,-0.9631169809311757,-0.9609206342639874,-0.9729906867024661,-0.8162326864803517,-1.337902318430494,-0.9134591397203469,-1.0918548806884194,-1.065565356686262,-1.0228570554471914,-1.0551529844541587,-1.064046226557389,-1.169574219503148,-1.0118139423937995,-1.0593156450541488,0.13482995356668495,1
0.03710983594258626,0.009584689996860234,0.013829787572224935,0.006739859620050375,0.2,{'regressor__alpha': 0.2},-1.3487020831061798,-1.1823054952815786,-0.9318382466555682,-1.0099389547662918,-1.055944723119503,-0.7937569859104607,-1.3840470090996095,-0.9443007476396459,-1.1559303246877908,-1.127804657133667,-1.0538689915548274,-1.1435992400966033,-1.070335199582833,-1.1975139254225884,-1.0456347103369306,-1.0963680862929386,0.14759039087235812,5
0.03779319127400716,0.011583997363530385,0.01455686887105306,0.009178740438208035,0.3,{'regressor__alpha': 0.3},-1.4023836021436713,-1.256640599296151,-0.9285250067582732,-1.079247467390411,-1.161090065090808,-0.7981979291979664,-1.454006789371742,-1.0012213315562977,-1.244413311509191,-1.2025445991239738,-1.1035259079833684,-1.258863603726207,-1.1081281062889967,-1.2433097704999476,-1.099969252513952,-1.1561378228300636,0.16444930027767107,6
0.051713148752848305,0.026094448176747477,0.018944581349690754,0.01587502974580042,0.4,{'regressor__alpha': 0.4},-1.4767133798771421,-1.3460232143441517,-0.9534042255957833,-1.1652124768254901,-1.2832162654725654,-0.8290990442417663,-1.5445422503241235,-1.0800866900531365,-1.3526107693987692,-1.2876062775762858,-1.1689193454708189,-1.394250895058967,-1.1743493294456337,-1.3051400445714547,-1.1719928497700343,-1.2355444705350749,0.1827026219684116,7
0.05861420631408691,0.03550293188399944,0.0180876890818278,0.01126480371613285,0.5,{'regressor__alpha': 0.5},-1.5687519279540638,-1.4129850372494444,-0.9956087160452108,-1.2644701281905029,-1.3507505931369668,-0.883708692920274,-1.6490581303887042,-1.1546409816367476,-1.3926179031953043,-1.381082473867804,-1.247590017629952,-1.4947256681422603,-1.2200606072399724,-1.3762306560827446,-1.2586598888527079,-1.3100627615021774,0.19424441870411352,8
0.052377875645955405,0.027381248251626508,0.02178028424580892,0.016930912902104245,0.6,{'regressor__alpha': 0.6},-1.672340447519199,-1.4613277261845623,-1.0174526306136982,-1.351308925332402,-1.4087755410453155,-0.957754774293281,-1.716314735844462,-1.2192199981317022,-1.439830649217649,-1.4742620903491983,-1.318880232545807,-1.58665846781746,-1.2500729618351223,-1.432819407173857,-1.3454204978825417,-1.3768292723857507,0.20364053998787593,9
0.049371862411499025,0.02441830824709432,0.016954501469930012,0.01088071045682575,0.7,{'regressor__alpha': 0.7},-1.7790527921122794,-1.5175398655034904,-1.0593253054883047,-1.4368970968088597,-1.470415424233833,-1.0418114869070412,-1.789540381865858,-1.2956182560455272,-1.4948271462777138,-1.5510878388633718,-1.3877692993440995,-1.6893332200771147,-1.291834099749288,-1.4960519257976508,-1.4262435008989927,-1.4484898426648949,0.21179242841745385,10
0.04640251795450846,0.03347028314868694,0.017560180028279623,0.021327267372081727,0.8,{'regressor__alpha': 0.8},-1.893694701315338,-1.5807821721289241,-1.1189805437900429,-1.5255314592484568,-1.535234884045954,-1.136523761549528,-1.8680332531719979,-1.3818768328391757,-1.5567826825754632,-1.6313866499580465,-1.4609591426708792,-1.8009135814583441,-1.3442494855607074,-1.5651231747272765,-1.511991892619011,-1.5274709478439428,0.21908752406259252,11
